Subnat Geography ID,Subnat Geography,Trade Value,Ranking
44,Guangdong Province,40444509981,1
32,Jiangsu Province,30944776330,2
33,Zhejiang Province,21870620600,3
37,Shandong Province,18056942294,4
31,Shanghai Province,13768778971,5
35,Fujian Province,10861959153,6
41,Henan Province,6365391113,7
51,Sichuan Province,5724857644,8
50,Chongqing,5241279516,9
11,Beijing,4639767959,10
42,Hubei Province,4252478613,11
43,Hunan Province,3937485074,12
13,Hebei Province,3112169656,13
53,Yunnan Province,3081249960,14
12,Tianjin,2810322654,15
45,Guangxi Zhuang Autonomous Region,2704155638,16
21,Liaoning Province,2700889000,17
34,Anhui Province,2625543002,18
36,Jiangxi Province,2398675415,19
65,Xingjiang Uygur Autonomous Region,2297877123,20
14,Shanxi Province,1210525721,21
61,Shaanxi Province,1181023283,22
15,Inner Mongolia Autonomous Region,396906141,23
22,Jilin Province,383996306,24
52,Guizhou Province,350089944,25
23,Heilongjiang Province,331973157,26
46,Hainan Province,162616917,27
64,Ningxia Hui Autonomous Region,143314434,28
62,Gansu Province,64027143,29
54,Tibet Autonomous Region,23161934,30
63,Qinghai Province,12581342,31
