Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Trade Value
1,Animal Products,101,Animals; live,10106,Other Animals,17245598
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,1040030
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,13095
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,37535329
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,4861654
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,152853837
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,40041928
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,12038628
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,61978807
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,76218021
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",2393122
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10401,Milk,189
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10402,Concentrated Milk,381135
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10403,Fermented Milk Products,384
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10405,Butter,163256
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10406,Cheese,120
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10407,Eggs,3975528
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10408,Processed Egg Products,1096144
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10409,Honey,8751
1,Animal Products,104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10410,Other Edible Animal Products,4600784
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10502,Pig Hair,34624
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10504,Animal Organs,1477860
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10505,Bird Feathers and Skins,63751009
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10508,Coral and Shells,451502
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10510,Pharmaceutical Animal Products,182221
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10511,Other Inedible Animal Products,8367831
2,Vegetable Products,206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20601,Bulbs and Roots,7530
2,Vegetable Products,206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20602,Other Live Plants,42803149
2,Vegetable Products,206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20603,Cut Flowers,6157952
2,Vegetable Products,206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20604,Foliage,7106667
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20701,Potatoes,1702696
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20702,Tomatoes,9434
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20703,Onions,53675851
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20704,Cabbages,22513296
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20705,Lettuce,188571
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20706,Root Vegetables,11303481
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20707,Cucumbers,475
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20708,Legumes,1664311
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20709,Other Vegetables,32136524
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20710,Frozen Vegetables,232505
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20711,Preserved Vegetables,2867163
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20712,Dried Vegetables,50100628
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20713,Dried Legumes,1232394
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20714,Cassava,13913302
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",72323
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,Other Nuts,40564927
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,Bananas,5666414
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,Tropical Fruits,145418
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,Citrus,64164271
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,Grapes,27143079
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,Melons,3715777
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,Apples and Pears,36264064
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,Pitted Fruits,145488
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,Other Fruits,11344178
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,Frozen Fruits and Nuts,39287
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,Preserved Fruits and Nuts,1634328
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,Dried Fruits,6361709
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20814,Citrus and Melon Peels,1177504
2,Vegetable Products,209,"Coffee, tea, mate and spices",20901,Coffee,6563510
2,Vegetable Products,209,"Coffee, tea, mate and spices",20902,Tea,39852653
2,Vegetable Products,209,"Coffee, tea, mate and spices",20904,Pepper,14449814
2,Vegetable Products,209,"Coffee, tea, mate and spices",20906,Cinnamon,82877651
2,Vegetable Products,209,"Coffee, tea, mate and spices",20907,Cloves,270919
2,Vegetable Products,209,"Coffee, tea, mate and spices",20909,Spice Seeds,7175951
2,Vegetable Products,209,"Coffee, tea, mate and spices",20910,Spices,32472415
2,Vegetable Products,210,Cereals,21007,Sorghum,1379
2,Vegetable Products,210,Cereals,21008,Buckwheat,217424
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,Wheat Flours,738017
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,Processed Cereals,45757
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,Legume Flours,1181286
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,Malt,44979204
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,Starches,2319716
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,Wheat Gluten,9435661
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21201,Soybeans,233930
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21202,Ground Nuts,44159
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21204,Linseed,11453
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21206,Sunflower Seeds,367093
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21207,Other Oily Seeds,1574268
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21208,Oil Seed Flower,750
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21209,Sowing Seeds,2608307
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21210,Hops,700
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21211,Perfume Plants,86082353
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",9937175
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21213,Cereal Straws,28947
2,Vegetable Products,213,"Lac; gums, resins and other vegetable saps and extracts",21301,Insect Resins,390006
2,Vegetable Products,213,"Lac; gums, resins and other vegetable saps and extracts",21302,Vegetable Saps,45037665
2,Vegetable Products,214,Vegetable plaiting materials; vegetable products not elsewhere specified or included,21401,Vegetable Plaiting Materials,29455019
2,Vegetable Products,214,Vegetable plaiting materials; vegetable products not elsewhere specified or included,21404,Other Vegetable Products,7833621
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31504,Fish Oil,34311609
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31505,Wool Grease,33600
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31506,Other Animal Fats,126552
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31507,Soybean Oil,76511788
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31508,Ground Nut Oil,6691
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31509,Pure Olive Oil,87238
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31510,Olive Oil,372
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31513,Coconut Oil,5954
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31514,Rapeseed Oil,338820
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31515,Other Pure Vegetable Oils,9982110
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31516,Other Vegetable Oils,611039
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31517,Margarine,12260767
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31518,Inedible Fats and Oils,78565275
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31521,Waxes,224899
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31522,Fat and Oil Residues,65163
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41601,Sausages,11721154
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41602,Other Prepared Meat,17186769
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41604,Processed Fish,973894967
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,Processed Crustaceans,612870517
4,Foodstuffs,417,Sugars and sugar confectionery,41701,Raw Sugar,16480883
4,Foodstuffs,417,Sugars and sugar confectionery,41702,Other Sugars,29568371
4,Foodstuffs,417,Sugars and sugar confectionery,41704,Confectionery Sugar,540372407
4,Foodstuffs,418,Cocoa and cocoa preparations,41803,Cocoa Paste,6797
4,Foodstuffs,418,Cocoa and cocoa preparations,41804,Cocoa Butter,840336
4,Foodstuffs,418,Cocoa and cocoa preparations,41805,Cocoa Powder,92104
4,Foodstuffs,418,Cocoa and cocoa preparations,41806,Chocolate,71824184
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41901,Malt Extract,7236716
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,Pasta,74853624
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41903,Tapioca,37704
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,Prepared Cereals,62167401
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,Baked Goods,102749167
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42001,Pickled Foods,417434
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42002,Processed Tomatoes,215333
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42003,Processed Mushrooms,11486504
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42004,Other Frozen Vegetables,247027
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,Other Processed Vegetables,174672882
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42006,Sugar Preserved Foods,122347806
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,Jams,343936
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,Other Processed Fruits and Nuts,109799410
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,Fruit Juice,1677793
4,Foodstuffs,421,Miscellaneous edible preparations,42101,Coffee and Tea Extracts,7112011
4,Foodstuffs,421,Miscellaneous edible preparations,42102,Yeast,13688407
4,Foodstuffs,421,Miscellaneous edible preparations,42103,Sauces and Seasonings,158582101
4,Foodstuffs,421,Miscellaneous edible preparations,42104,Soups and Broths,2881122
4,Foodstuffs,421,Miscellaneous edible preparations,42105,Ice Cream,4232197
4,Foodstuffs,421,Miscellaneous edible preparations,42106,Other Edible Preparations,139148406
4,Foodstuffs,422,"Beverages, spirits and vinegar",42201,Water,6978819
4,Foodstuffs,422,"Beverages, spirits and vinegar",42202,Flavored Water,24669001
4,Foodstuffs,422,"Beverages, spirits and vinegar",42203,Beer,50487028
4,Foodstuffs,422,"Beverages, spirits and vinegar",42204,Wine,9589398
4,Foodstuffs,422,"Beverages, spirits and vinegar",42206,Other Fermented Beverages,595070
4,Foodstuffs,422,"Beverages, spirits and vinegar",42207,Alcohol > 80% ABV,2095798
4,Foodstuffs,422,"Beverages, spirits and vinegar",42208,Hard Liquor,3061730
4,Foodstuffs,422,"Beverages, spirits and vinegar",42209,Vinegar,2242857
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42301,Animal Meal and Pellets,60000
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42302,Bran,3090153
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42303,Starch Residue,1310206
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42304,Soybean Meal,1724875
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42306,Other Vegetable Residues,394501
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42308,Other Vegetable Residues and Waste,308052
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,Animal Food,161047360
4,Foodstuffs,424,Tobacco and manufactured tobacco substitutes,42401,Raw Tobacco,14094302
4,Foodstuffs,424,Tobacco and manufactured tobacco substitutes,42402,Rolled Tobacco,27908163
4,Foodstuffs,424,Tobacco and manufactured tobacco substitutes,42403,Processed Tobacco,3468451
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52501,Salt,2231598
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52502,Iron Pyrites,1631707
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52504,Graphite,65946473
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52505,Sand,970798
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52506,Quartz,11392808
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52507,Kaolin,33639123
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52508,Clays,135238115
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52509,Chalk,122699
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52511,Barium Sulphate,24651948
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52512,Siliceous Fossil Meals,263348
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52513,Pumice,3976110
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52514,Slate,939537
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52515,"Marble, Travertine and Alabaster",3011041
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52516,Granite,1713954
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52517,Gravel and Crushed Stone,5682508
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52518,Dolomite,3463739
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52519,Magnesium Carbonate,219121861
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52520,Gypsum,3246605
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52521,Limestone,286638
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52522,Quicklime,387907
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52523,Cement,5378789
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52524,Asbestos,154044
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52525,Mica,1068260
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52526,Soapstone,11220919
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52528,Borax,46524
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52529,Feldspar,60735967
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52530,Other Mineral,12525109
5,Mineral Products,526,"Ores, slag and ash",52601,Iron Ore,168777955
5,Mineral Products,526,"Ores, slag and ash",52602,Manganese Ore,177438
5,Mineral Products,526,"Ores, slag and ash",52603,Copper Ore,834105
5,Mineral Products,526,"Ores, slag and ash",52604,Nickel Ore,607
