Continent ID,Continent,Country ID,Country,ISO 3,Trade Value
af,Africa,afago,Angola,ago,49610632
af,Africa,afciv,Cote d'Ivoire,civ,1533138
af,Africa,afcmr,Cameroon,cmr,18149508
af,Africa,afcog,Republic of the Congo,cog,13324462
af,Africa,afcpv,Cape Verde,cpv,3809
af,Africa,afdza,Algeria,dza,22414120
af,Africa,afegy,Egypt,egy,109769543
af,Africa,afeth,Ethiopia,eth,35436135
af,Africa,afgab,Gabon,gab,55561231
af,Africa,afgha,Ghana,gha,66530930
af,Africa,afgin,Guinea,gin,491851
af,Africa,afken,Kenya,ken,30088256
af,Africa,aflbr,Liberia,lbr,1278190
af,Africa,aflby,Libya,lby,61262953
af,Africa,afmar,Morocco,mar,137781776
af,Africa,afmdg,Madagascar,mdg,46846984
af,Africa,afmli,Mali,mli,40811408
af,Africa,afmoz,Mozambique,moz,141080045
af,Africa,afmrt,Mauritania,mrt,22959874
af,Africa,afmus,Mauritius,mus,3543747
af,Africa,afmwi,Malawi,mwi,12697
af,Africa,afner,Niger,ner,12303793
af,Africa,afnga,Nigeria,nga,315963766
af,Africa,afrwa,Rwanda,rwa,21806416
af,Africa,afsdn,Sudan,sdn,12189601
af,Africa,afsen,Senegal,sen,38573214
af,Africa,aftcd,Chad,tcd,9967
af,Africa,aftun,Tunisia,tun,13081855
af,Africa,aftza,Tanzania,tza,18526555
af,Africa,afuga,Uganda,uga,5427257
af,Africa,afzaf,South Africa,zaf,7303144228
af,Africa,afzmb,Zambia,zmb,453524548
af,Africa,afzwe,Zimbabwe,zwe,18852919
as,Asia,asafg,Afghanistan,afg,718142
as,Asia,asare,United Arab Emirates,are,1586456169
as,Asia,asarm,Armenia,arm,32164779
as,Asia,asaze,Azerbaijan,aze,9943281
as,Asia,asbgd,Bangladesh,bgd,144673577
as,Asia,aschn,China,chn,69806425085
as,Asia,ascyp,Cyprus,cyp,5847380
as,Asia,asgeo,Georgia,geo,20474778
as,Asia,asidn,Indonesia,idn,4914962372
as,Asia,asind,India,ind,1752336233
as,Asia,asirn,Iran,irn,2775903639
as,Asia,asirq,Iraq,irq,303968
as,Asia,asisr,Israel,isr,700961220
as,Asia,asjor,Jordan,jor,65366043
as,Asia,asjpn,Japan,jpn,37480209597
as,Asia,askaz,Kazakhstan,kaz,9814042
as,Asia,askgz,Kyrgyzstan,kgz,340450
